StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
SGSB    41.073  336.132    0.522E-03   90.58  126.13   35.55   0.88   0.43   1.128  0.488  0.181E-03  0.550E-03   2.68   2.38
ESLB   137.849   30.576    0.572E-04  114.55  178.92   64.36   0.97   1.09   0.947 -0.586  0.168E-04  0.156E-03   3.06   3.23
SCZB    42.983  197.388    0.364E-03   87.14  125.27   38.13   0.97   0.41   1.098  2.062  0.687E-04  0.249E-02   2.68   2.44
TWMB    34.254  285.138    0.102E-02   93.39  139.51   46.12   0.62   0.04   1.167  1.509  0.158E-03  0.994E-02   3.01   2.58
WLCB    58.828  222.192    0.424E-02  181.15  191.05    9.90   0.38  -0.44   2.818  3.400  0.203E-02 -0.456E-02   3.74   1.33
ECLB    26.784  126.766    0.141E-02  122.65  146.14   23.49   1.01   1.33   1.348 -0.290  0.303E-03  0.303E-02   2.65   1.97
DPDB   144.140    7.026    0.162E-03  109.61  155.90   46.28   1.64   4.17   1.157 -0.230  0.120E-04  0.393E-03   3.43   2.97
FULB    75.100   47.479    0.461E-03  111.98  150.45   38.47   0.36  -0.39   1.219  1.639  0.447E-04  0.309E-03   3.13   2.56
TWGB    34.603   75.756    0.114E-02   90.18  135.13   44.95   0.84   0.51   1.085  3.284  0.321E-03  0.356E-02   2.77   2.56
TWKB    88.787  176.033    0.244E-02   38.09  121.52   83.44   0.58   0.34   1.164  3.158  0.701E-03  0.139E-01   3.82   3.28
SSLB   117.637   10.024    0.101E-03  106.61  164.33   57.72   0.80   0.52   0.925  0.474  0.112E-04  0.505E-03   2.83   3.06
CHGB   152.216   16.330    0.210E-03  108.05  178.55   70.51   1.01   0.74   1.014  2.661  0.311E-04  0.261E-02   3.41   3.36
HGSD   107.832   39.433    0.964E-03  113.79  168.87   55.08   0.77  -0.04   1.298  1.813  0.199E-03  0.533E-02   3.88   2.99
YULB    91.118   37.594    0.805E-04  106.07  160.68   54.61   0.96   0.82   0.926  1.652  0.445E-05  0.330E-03   2.71   2.92
MASB    18.882  220.851    0.110E-02   82.74  112.09   29.35   0.90   0.29   1.163  2.837  0.222E-03  0.564E-02   2.48   2.13
YHNB   222.720   16.433    0.121E-03  123.05  147.73   24.68   0.49  -0.31   1.311  1.679  0.109E-04  0.953E-04   3.53   2.69
